word,normalized_word,source,is_trusted,is_common,is_active,layer,include_in_runtime,include_as_candidate,review_state
অক্টোবরের,অক্টোবরের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্টোপাস্‌,অক্টোপাস্,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্টোভিয়ান,অক্টোভিয়ান,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্রিকেটীয়,অক্রিকেটীয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্রীড়াসুলভ,অক্রীড়াসুলভ,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্রেয়,অক্রেয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষক্রীড়া,অক্ষক্রীড়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষবিদ্‌,অক্ষবিদ্,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়,অক্ষয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়কীর্তি,অক্ষয়কীর্তি,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়কুমার,অক্ষয়কুমার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়কে,অক্ষয়কে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়তূণ,অক্ষয়তূণ,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়তৃতীয়া,অক্ষয়তৃতীয়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়পাড়া,অক্ষয়পাড়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়বট,অক্ষয়বট,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়ের,অক্ষয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষয়েরই,অক্ষয়েরই,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষরপরিচয়,অক্ষরপরিচয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অক্ষরেখায়,অক্ষরেখায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
